FileName,Products;;;;;;;;;
710020-020,t789:1;b456:5;c1234:10;;;;;;;
710050-050,t789:3;b456:6;c1234:12;;;;;;;
711050-fghij,gpn123:4;gpnABC:6;gpn456:3;;;;;;;
711050-klmno,gpn123:5;gpnABC:7;gpn456:4;;;;;;;
711050-pqrst,gpn123:6;gpnABC:8;gpn456:5;;;;;;;
Cantilever_Mast_Assembly-Cantilever ER 2m 1000,INTCPTSIIER2:1;ER22000SS:1;ER32000SS:1;ALOF1GS:2;CABTIESS:5;;;;;
Cantilever_Mast_Assembly-Cantilever ER 3m 1000, INTCPTSIIER2:1;ER22000SS:1;ER33000SS:1;ALOF1GS:3;CABTIESS:5;;;;;
Cantilever_Mast_Assembly-Cantilever ER 4m 1000,INTCPTSIIER1:1;ER11000SS:1;ER23000SS:1;ER33000SS:1;ALOF1GS:3;CABTIESS:5;;;;
Cantilever_Mast_Assembly-Cantilever ER 5m 1000,INTCPTSIIER1:1;ER11000SS:1;ER23000SS:1;ER33000SS:1;ALOF1GS:3;CABTIESS:5;;;;
Cantilever_Mast_Assembly-Cantilever SIM 3m 1000,SIM28A2:1;SIM33B2:1;ALOF1GS:2;TMCSS:2;CABTIESS:9;;;;;
Cantilever_Mast_Assembly-Cantilever SIM 4m 1000,SIM28A2:1;SIM33B3:1;ALOF1GS:2;TMCSS:2;CABTIESS:12;;;;;
Cantilever_Mast_Assembly-Cantilever SIM 5m 1000,SIM28A2:1;SIM33B3:1;SIM40C2:1;ALOF1GS:3;TMCSS:2;CABTIESS:14;;;;
Cantilever_Mast_Assembly-Cantilever SIM 5m 3000,SIM28A2:1;SIM33B3:1;SIM40C3:1;ALOF1GS:3;TMCSS:2;CABTIESS:17;;;;
Cantilever_Mast_Assembly-Cantilever ER 3m 3000,INTCPTADM116UN:1;ER22000SS:1;ER32000SS:1;ALOF1GS:2;CABTIESS:5;;;;;
Cantilever_Mast_Assembly-Cantilever ER 4m 3000,INTCPTADM116UN:1;ER22000SS:1;ER33000SS:1;ALOF1GS:2;CABTIESS:5;;;;;
Cantilever_Mast_Assembly-Cantilever ER 5m 3000,INTCPTADM3/4UNC:1;ER11000SS:1;ER23000SS:1;ER33000SS:1;ALOF1GS:3;CABTIESS:5;;;;
Cantilever_Mast_Assembly-Cantilever FRP 3.6m 3000,FRP4.6MBLACK:1;7000250S4:3;;;;;;;;
Cantilever_Mast_Assembly-Cantilever ALFRP 4m 3000,ALUM3M:1;ILCOUPL:1;FRP2MBLACK:1;CABTIESS:3;7000250S4:3;;;;;
Cantilever_Mast_Assembly-Cantilever ALFRP 5m 3000,ALUM4M:1;ILCOUPL:1;FRP2MBLACK:1;CABTIESS:3;7000250S4:3;;;;;
Cantilever_Mast_Assembly-Cantilever ALFRP 6m 3000,ALUM6M:1;ILCOUPL:1;FRP2MBLACK:1;CABTIESS:3;7000250S4:3;CONSAD/E2/5:3;CONSAD-FX:3;;;
Cantilever_Mast_Assembly-Cantilever Aluminum 5m 3000,ALUM6M:1;TERMLUGCOUP:1;ALOF1GS:3;;;;;;;
Guyed_Mast_Assembly-Guyed ER 2m 1000,INTCPTSIIER2:1;ER22000SS:1;ER2BASESS:1;GUYKIT4M/GRIP:1 ;;;;;;
Guyed_Mast_Assembly-Guyed ER 3m 1000,INTCPTSIIER2:1;ER23000SS:1;ER2BASESS:1;GUYKIT4M/GRIP:1;;;;;;
Guyed_Mast_Assembly-Guyed ER 4m 1000,INTCPTSIIER2:1;ER22000SS:1;ER32000SS:1;ER3BASESS:1;GUYKIT4M/GRIP:1;;;;;
Guyed_Mast_Assembly-Guyed ER 5m 1000,INTCPTSIIER2:1;ER22000SS:1;ER33000SS:1;ER3BASESS:1;GUYKIT7M/GRIP:1 ;;;;;
Guyed_Mast_Assembly-Guyed ER 6m 1000,INTCPTSIIER2:1;ER23000SS:1;ER33000SS:1;ER3BASESS:1;GUYKIT7M/GRIP:1 ;;;;;
Guyed_Mast_Assembly-Guyed ER 7m 1000,INTCPTSIIER1:1;ER11000SS:1;ER23000SS:1;ER33000SS:1;ER3BASESS:1;GUYKIT7M/GRIP:1;GUYKIT4M/GRIP:1;;;
Guyed_Mast_Assembly-Guyed ER 8m 1000,INTCPTSIIER1:1;ER12000SS:1;ER23000SS:1;ER33000SS:1;ER3BASESS:1;GUYKIT7M/GRIP:1;GUYKIT4M/GRIP:1;;;
Guyed_Mast_Assembly-Guyed SIM 2m 1000,SIM28A2:1;SIMBASE2840:1;TMCSS:2;CABTIESS:7;;;;;;
Guyed_Mast_Assembly-Guyed SIM 4m 1000,SIM28A2:1;SIM33B2:1;BASEADAPTER40:1;SIMBASE2840:1;GUYRING28:1;GUYKIT4M/GRIP:1;TMCSS:2;CABTIESS:12;;
Guyed_Mast_Assembly-Guyed SIM 5m 1000,SIM28A2:1;SIM33B3:1;BASEADAPTER40:1;SIMBASE2840:1;GUYRING28:1;GUYKIT4M/GRIP:1;TMCSS:2;CABTIESS:15;;
Guyed_Mast_Assembly-Guyed SIM 6m 1000,SIM28A2:1;SIM33B2:1;SIM40C2:1;SIMBASE2840:1;GUYRING28:1;GUYKIT4M/GRIP:1;TMCSS:2;CABTIESS:18;;
Guyed_Mast_Assembly-Guyed SIM 7m 1000,SIM28A2:1;SIM33B3:1;SIM40C2:1;SIMBASE2840:1;GUYRING28:1;GUYKIT7M/GRIP:1;TMCSS:2;CABTIESS:21;;
Guyed_Mast_Assembly-Guyed SIM 8m 1000,SIM28A2:1;SIM33B3:1;SIM40C3:1;SIMBASE2840:1;GUYRING28:1;GUYKIT7M/GRIP:1;TMCSS:2;CABTIESS:24;;
Guyed_Mast_Assembly-Guyed ER 3m 3000,INTCPTADM116UN:1;ER23000SS:1;ER2BASESS:1;CABTIESS:5;GUYKIT4M/GRIP: 1;;;;;
