Test Case,R2 Parameter,R2 Test Output,R5 Parameter,R5 Test Output
1,42.66,31.432467291003423,106.65,78.58116822750856
2,38.83,34.583232931581165,97.08,86.45808232895291
3,34.58,38.8329756778952,86.46,97.082439194738
4,31.43,42.661458015403085,78.58,106.65364503850769
5,25.92,35.77708763999664,64.81,89.44271909999159
6,22.98,32.2490309931942,57.45,80.62257748298549
7,19.6,28.284271247461902,48.99,70.71067811865476
8,16.97,25.298221281347033,42.43,63.24555320336758
9,33.41,33.40658617698013,83.52,83.51646544245033
10,30,30,75,75
